pathway_name	category	organism_scope	source	source_id	notes
5-Phosphoribose 1-diphosphate biosynthesis	Metabolism of carbohydrates and carbohydrate derivatives	Homo sapiens	reactome	R-HSA-73843	
ABO blood group biosynthesis	Metabolism of carbohydrates and carbohydrate derivatives	Homo sapiens	reactome	R-HSA-9033807	
AMPK inhibits chREBP transcriptional activation activity	Integration of energy metabolism	Homo sapiens	reactome	R-HSA-163680	
Acetylation	Biological oxidations	Homo sapiens	reactome	R-HSA-156582	
Acetylcholine regulates insulin secretion	Integration of energy metabolism	Homo sapiens	reactome	R-HSA-399997	
Activation of gene expression by SREBF (SREBP)	Metabolism of lipids	Homo sapiens	reactome	R-HSA-2426168	
Acyl chain remodeling of CL	Metabolism of lipids	Homo sapiens	reactome	R-HSA-1482798	
Acyl chain remodeling of DAG and TAG	Metabolism of lipids	Homo sapiens	reactome	R-HSA-1482883	
Acyl chain remodelling of PC	Metabolism of lipids	Homo sapiens	reactome	R-HSA-1482788	
Acyl chain remodelling of PE	Metabolism of lipids	Homo sapiens	reactome	R-HSA-1482839	
Acyl chain remodelling of PG	Metabolism of lipids	Homo sapiens	reactome	R-HSA-1482925	
Acyl chain remodelling of PI	Metabolism of lipids	Homo sapiens	reactome	R-HSA-1482922	
Acyl chain remodelling of PS	Metabolism of lipids	Homo sapiens	reactome	R-HSA-1482801	
Adrenaline,noradrenaline inhibits insulin secretion	Integration of energy metabolism	Homo sapiens	reactome	R-HSA-400042	
Aerobic respiration and respiratory electron transport	top_level	Homo sapiens	reactome	R-HSA-1428517	
Aflatoxin activation and detoxification	Biological oxidations	Homo sapiens	reactome	R-HSA-5423646	
Agmatine biosynthesis	Metabolism of amino acids and derivatives	Homo sapiens	reactome	R-HSA-351143	
Alanine metabolism	Metabolism of amino acids and derivatives	Homo sapiens	reactome	R-HSA-8964540	
Alpha-oxidation of phytanate	Metabolism of lipids	Homo sapiens	reactome	R-HSA-389599	
Amine Oxidase reactions	Biological oxidations	Homo sapiens	reactome	R-HSA-140179	
Amino Acid conjugation	Biological oxidations	Homo sapiens	reactome	R-HSA-156587	
Androgen biosynthesis	Metabolism of lipids	Homo sapiens	reactome	R-HSA-193048	
Arachidonate metabolism	Metabolism of lipids	Homo sapiens	reactome	R-HSA-2142753	
Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2	Biological oxidations	Homo sapiens	reactome	R-HSA-211957	
Aryl hydrocarbon receptor signalling	Biological oxidations	Homo sapiens	reactome	R-HSA-8937144	
Aspartate and asparagine metabolism	Metabolism of amino acids and derivatives	Homo sapiens	reactome	R-HSA-8963693	
BCKDH synthesizes BCAA-CoA from KIC, KMVA, KIV	Metabolism of amino acids and derivatives	Homo sapiens	reactome	R-HSA-9859138	
Beta oxidation of butanoyl-CoA to acetyl-CoA	Metabolism of lipids	Homo sapiens	reactome	R-HSA-77352	
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA	Metabolism of lipids	Homo sapiens	reactome	R-HSA-77346	
Beta oxidation of hexanoyl-CoA to butanoyl-CoA	Metabolism of lipids	Homo sapiens	reactome	R-HSA-77350	
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA	Metabolism of lipids	Homo sapiens	reactome	R-HSA-77310	
Beta oxidation of myristoyl-CoA to lauroyl-CoA	Metabolism of lipids	Homo sapiens	reactome	R-HSA-77285	
Beta oxidation of octanoyl-CoA to hexanoyl-CoA	Metabolism of lipids	Homo sapiens	reactome	R-HSA-77348	
Beta oxidation of palmitoyl-CoA to myristoyl-CoA	Metabolism of lipids	Homo sapiens	reactome	R-HSA-77305	
Beta-oxidation of pristanoyl-CoA	Metabolism of lipids	Homo sapiens	reactome	R-HSA-389887	
Beta-oxidation of very long chain fatty acids	Metabolism of lipids	Homo sapiens	reactome	R-HSA-390247	
Bile acid and bile salt metabolism	Metabolism of lipids	Homo sapiens	reactome	R-HSA-194068	
Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB	Biological oxidations	Homo sapiens	reactome	R-HSA-141333	
Biological oxidations	top_level	Homo sapiens	reactome	R-HSA-211859	
Biosynthesis of D-series resolvins	Metabolism of lipids	Homo sapiens	reactome	R-HSA-9018676	
Biosynthesis of DHA-derived SPMs	Metabolism of lipids	Homo sapiens	reactome	R-HSA-9018677	
